,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,O_long,O_lat,D_long,D_lat
1527,Donostialdea,Donostialdea,Lasarte-Oria,Errenteria,Moto,17:30,99,,2,2,2,Otros hogares sin niños,1,4,1,1,2021,24596.86,-2.0198348029603954,43.26968213906705,-2.033693,43.256347
1528,Donostialdea,Donostialdea,Donostia/San Sebastian,Pasaia,Coche conductor,13:00,22,Pasaia,2,3,1,2 adultos con niño(s),1,4,1,1,2021,26108.009999999995,-2.0382355891039468,43.296890899621175,-2.033693,43.256347
1529,Debagoiena,Donostialdea,Oñati,Donostia/San Sebastian,Coche conductor,17:00,22,Donostia/San Sebastian,2,3,2,Otros hogares sin niños,1,4,1,1,2021,25017.26,-2.4198950775611507,43.03988863346363,-2.033693,43.256347
1530,Donostialdea,Donostialdea,Donostia/San Sebastian,Pasaia,Moto,14:00,22,Donostia/San Sebastian,2,2,3,Otros hogares sin niños,2,3,1,1,2021,22350.585,-1.9991576206539379,43.30532038509673,-2.033693,43.256347
1531,Urola Kosta       ,Donostialdea,Azkoitia,Donostia/San Sebastian,Autobús interurbano,06:45,22,Azkoitia,2,2,1,2 adultos con niño(s),2,5,1,1,2021,22178.67,-2.3077979390593435,43.176420943001965,-2.033693,43.256347
1532,Donostialdea,Donostialdea,Hernani,Donostia/San Sebastian,Coche conductor,16:00,22,Donostia/San Sebastian,2,3,1,Otros hogares sin niños,1,5,1,1,2021,26243.96,-1.9692283194364677,43.26698905052156,-2.033693,43.256347
1533,Donostialdea,Donostialdea,Pasaia,Errenteria,Coche conductor,14:45,22,Errenteria,2,2,1,2 adultos con niño(s),1,5,1,1,2021,25069.96,-1.9181488511729639,43.32061297640593,-2.033693,43.256347
1534,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Coche conductor,15:00,22,Errenteria,1,2,1,2 adultos,1,4,1,1,2021,24675.31,-1.9750593026028234,43.324197222023436,-2.033693,43.256347
1535,Donostialdea,Donostialdea,Pasaia,Donostia/San Sebastian,Coche conductor,09:00,22,Pasaia,2,3,2,2 adultos con niño(s),1,5,1,1,2021,27334.709999999995,-1.9309164404813728,43.32347268617314,-2.033693,43.256347
1536,Donostialdea,Donostialdea,Errenteria,Donostia/San Sebastian,Coche conductor,04:15,23,Errenteria,2,2,1,Otros hogares sin niños,1,5,1,1,2021,22565.05,-1.9012272768935257,43.312395584636455,-2.033693,43.256347
1537,Bidasoa,Donostialdea,Irun,Donostia/San Sebastian,Autobús interurbano,07:20,22,Irun,2,1,1,Otros hogares sin niños,1,5,1,2,2021,22593.05,-1.7954950740499676,43.339953144161875,-2.033693,43.256347
1538,Bidasoa,Donostialdea,Irun,Errenteria,Coche conductor,16:00,22,Errenteria,1,2,1,Hogar de una persona,2,5,1,1,2021,21408.3,-1.8251115103199356,43.327303894508596,-2.033693,43.256347
